exper_n,exper_id,model_type,rmse,col,pch,n_prof
1,similar_10,dl,3.200232205046065,#d95f02,22,10
1,similar_10,pb,1.9489516214880096,#1b9e77,21,10
1,similar_10,pgdl,1.398895890528174,#7570b3,23,10
1,similar_100,dl,2.021459777619027,#d95f02,22,100
1,similar_100,pb,1.4850557338901356,#1b9e77,21,100
1,similar_100,pgdl,1.0819765605664404,#7570b3,23,100
1,similar_2,pb,2.7720045122800223,#1b9e77,21,2
1,similar_2,pgdl,1.5822382751799238,#7570b3,23,2
1,similar_50,dl,1.8369733337294656,#d95f02,22,50
1,similar_50,pb,1.6192540764040206,#1b9e77,21,50
1,similar_50,pgdl,1.163771716447073,#7570b3,23,50
1,similar_500,dl,1.0854660727534748,#d95f02,22,500
1,similar_500,pb,1.4765339654651073,#1b9e77,21,500
1,similar_500,pgdl,0.9433235916503008,#7570b3,23,500
1,similar_980,dl,1.0164286166653662,#d95f02,22,980
1,similar_980,pb,1.4700067796358938,#1b9e77,21,980
1,similar_980,pgdl,0.8767910299779889,#7570b3,23,980
2,similar_10,dl,3.3999010883665552,#d95f02,22,10
2,similar_10,pb,1.5717318592638871,#1b9e77,21,10
2,similar_10,pgdl,1.311714660270286,#7570b3,23,10
2,similar_100,dl,1.7737961842691117,#d95f02,22,100
2,similar_100,pb,1.8283659657369784,#1b9e77,21,100
2,similar_100,pgdl,1.15103115083281,#7570b3,23,100
2,similar_2,pb,2.1288923480187267,#1b9e77,21,2
2,similar_2,pgdl,1.5442403577367196,#7570b3,23,2
2,similar_50,dl,2.459983621052138,#d95f02,22,50
2,similar_50,pb,1.5445289427066924,#1b9e77,21,50
2,similar_50,pgdl,1.1211163300985665,#7570b3,23,50
2,similar_500,dl,1.2473182548952464,#d95f02,22,500
2,similar_500,pb,1.2432323609105214,#1b9e77,21,500
2,similar_500,pgdl,0.9390229890629186,#7570b3,23,500
2,similar_980,dl,1.1065112899642084,#d95f02,22,980
2,similar_980,pb,1.2432323609105214,#1b9e77,21,980
2,similar_980,pgdl,0.921411880113436,#7570b3,23,980
3,similar_10,dl,3.939272009793463,#d95f02,22,10
3,similar_10,pb,1.7418705339379874,#1b9e77,21,10
3,similar_10,pgdl,1.7088557294232691,#7570b3,23,10
3,similar_100,dl,1.6386477352062847,#d95f02,22,100
3,similar_100,pb,1.428511166951631,#1b9e77,21,100
3,similar_100,pgdl,0.9965795046590028,#7570b3,23,100
3,similar_2,pb,4.727510990888603,#1b9e77,21,2
3,similar_2,pgdl,1.974046273915442,#7570b3,23,2
3,similar_50,dl,2.7886703334427727,#d95f02,22,50
3,similar_50,pb,1.4780141283111508,#1b9e77,21,50
3,similar_50,pgdl,0.9886015650427828,#7570b3,23,50
3,similar_500,dl,1.6421899284387496,#d95f02,22,500
3,similar_500,pb,1.5039762486449784,#1b9e77,21,500
3,similar_500,pgdl,0.9016451470978656,#7570b3,23,500
3,similar_980,dl,1.1061875610987064,#d95f02,22,980
3,similar_980,pb,1.4399626002955834,#1b9e77,21,980
3,similar_980,pgdl,0.8491217539296757,#7570b3,23,980
4,similar_10,dl,3.1472641262392274,#d95f02,22,10
4,similar_10,pb,1.7484193047427032,#1b9e77,21,10
4,similar_10,pgdl,1.5732527381566357,#7570b3,23,10
4,similar_100,dl,1.5496418332837003,#d95f02,22,100
4,similar_100,pb,1.4647668324865957,#1b9e77,21,100
4,similar_100,pgdl,1.0506482527809755,#7570b3,23,100
4,similar_2,pb,2.5713129050258785,#1b9e77,21,2
4,similar_2,pgdl,1.6261506493049824,#7570b3,23,2
4,similar_50,dl,1.639011336830362,#d95f02,22,50
4,similar_50,pb,1.7993264224551049,#1b9e77,21,50
4,similar_50,pgdl,1.1027540093447317,#7570b3,23,50
4,similar_500,dl,1.10684014268415,#d95f02,22,500
4,similar_500,pb,1.6195522648821763,#1b9e77,21,500
4,similar_500,pgdl,0.9592434275416176,#7570b3,23,500
4,similar_980,dl,0.9704943625865144,#d95f02,22,980
4,similar_980,pb,1.9969636864925164,#1b9e77,21,980
4,similar_980,pgdl,0.9526537709136356,#7570b3,23,980
5,similar_10,dl,3.0679882705112527,#d95f02,22,10
5,similar_10,pb,2.767443050431494,#1b9e77,21,10
5,similar_10,pgdl,1.3598512801212703,#7570b3,23,10
5,similar_100,dl,1.6518495722083848,#d95f02,22,100
5,similar_100,pb,1.9859017183353964,#1b9e77,21,100
5,similar_100,pgdl,1.0847039930289908,#7570b3,23,100
5,similar_2,pb,2.935999202918958,#1b9e77,21,2
5,similar_2,pgdl,2.126850789673571,#7570b3,23,2
5,similar_50,dl,2.1823446488613527,#d95f02,22,50
5,similar_50,pb,1.67636672772576,#1b9e77,21,50
5,similar_50,pgdl,1.2158483748425115,#7570b3,23,50
5,similar_500,dl,1.3403167048164188,#d95f02,22,500
5,similar_500,pb,1.604146388097986,#1b9e77,21,500
5,similar_500,pgdl,1.0182446781850114,#7570b3,23,500
5,similar_980,dl,1.1715715973580614,#d95f02,22,980
5,similar_980,pb,1.6690017536966302,#1b9e77,21,980
5,similar_980,pgdl,0.9785595826146168,#7570b3,23,980
